"time","Room 1 - Actual","Room 1 - Set"
2024-02-01 00:00:00,20.5 °C,19 °C
2024-02-01 00:01:00,20.5 °C,19 °C
2024-02-01 00:04:00,20.5 °C,19 °C
2024-02-01 00:05:00,20.5 °C,19 °C
2024-02-01 00:06:00,20.5 °C,19 °C
2024-02-01 00:08:00,20.5 °C,19 °C
2024-02-01 00:10:00,20.5 °C,19 °C
2024-02-01 00:11:00,20.5 °C,19 °C
2024-02-01 00:12:00,20.5 °C,19 °C
2024-02-01 00:13:00,20.5 °C,19 °C
2024-02-01 00:14:00,20.5 °C,19 °C
2024-02-01 00:15:00,20.5 °C,19 °C
2024-02-01 00:16:00,20.5 °C,19 °C
2024-02-01 00:17:00,20.5 °C,19 °C
2024-02-01 00:18:00,20.4 °C,19 °C
2024-02-01 00:20:00,20.4 °C,19 °C
2024-02-01 00:21:00,20.4 °C,19 °C
2024-02-01 00:23:00,20.4 °C,19 °C
2024-02-01 00:26:00,20.4 °C,19 °C
2024-02-01 00:27:00,20.4 °C,19 °C
2024-02-01 00:29:00,20.4 °C,19 °C
2024-02-01 00:32:00,20.4 °C,19 °C
2024-02-01 00:35:00,20.4 °C,19 °C
2024-02-01 00:37:00,20.4 °C,19 °C
2024-02-01 00:39:00,20.3 °C,19 °C
2024-02-01 00:40:00,20.3 °C,19 °C
2024-02-01 00:41:00,20.3 °C,19 °C
2024-02-01 00:43:00,20.3 °C,19 °C
2024-02-01 00:44:00,20.3 °C,19 °C
2024-02-01 00:46:00,20.3 °C,19 °C
2024-02-01 00:48:00,20.3 °C,19 °C
2024-02-01 00:50:00,20.3 °C,19 °C
2024-02-01 00:51:00,20.3 °C,19 °C
2024-02-01 00:54:00,20.3 °C,19 °C
2024-02-01 00:55:00,20.2 °C,19 °C
2024-02-01 00:57:00,20.2 °C,19 °C
2024-02-01 01:00:00,20.2 °C,19 °C
2024-02-01 01:01:00,20.2 °C,19 °C
2024-02-01 01:03:00,20.2 °C,19 °C
2024-02-01 01:04:00,20.2 °C,19 °C
2024-02-01 01:07:00,20.2 °C,19 °C
2024-02-01 01:10:00,20.2 °C,19 °C
2024-02-01 01:12:00,20.2 °C,19 °C
2024-02-01 01:13:00,20.2 °C,19 °C
2024-02-01 01:14:00,20.1 °C,19 °C
2024-02-01 01:16:00,20.1 °C,19 °C
2024-02-01 01:22:00,20.1 °C,19 °C
2024-02-01 01:27:00,20.1 °C,19 °C
2024-02-01 01:29:00,20.1 °C,19 °C
2024-02-01 01:32:00,20.1 °C,19 °C
2024-02-01 01:42:00,20.1 °C,19 °C
2024-02-01 01:45:00,20.1 °C,19 °C
2024-02-01 01:47:00,20.1 °C,19 °C
2024-02-01 01:49:00,20.1 °C,19 °C
2024-02-01 01:51:00,20.0 °C,19 °C
2024-02-01 01:53:00,20.0 °C,19 °C
2024-02-01 01:54:00,20.0 °C,19 °C
2024-02-01 01:57:00,20.0 °C,19 °C
2024-02-01 01:58:00,20.0 °C,19 °C
2024-02-01 02:01:00,20 °C,19 °C
2024-02-01 02:03:00,20.0 °C,19 °C
2024-02-01 02:05:00,20.0 °C,19 °C
2024-02-01 02:07:00,20.0 °C,19 °C
2024-02-01 02:08:00,20.0 °C,19 °C
2024-02-01 02:09:00,20.0 °C,19 °C
2024-02-01 02:10:00,19.9 °C,19 °C
2024-02-01 02:11:00,19.9 °C,19 °C
2024-02-01 02:12:00,19.9 °C,19 °C
2024-02-01 02:15:00,19.9 °C,19 °C
2024-02-01 02:16:00,19.9 °C,19 °C
2024-02-01 02:18:00,19.9 °C,19 °C
2024-02-01 02:19:00,19.9 °C,19 °C
2024-02-01 02:21:00,19.9 °C,19 °C
2024-02-01 02:22:00,19.9 °C,19 °C
2024-02-01 02:23:00,19.9 °C,19 °C
2024-02-01 02:26:00,19.9 °C,19 °C
2024-02-01 02:27:00,19.9 °C,19 °C
2024-02-01 02:30:00,19.9 °C,19 °C
2024-02-01 02:31:00,19.9 °C,19 °C
2024-02-01 02:33:00,19.8 °C,19 °C
2024-02-01 02:34:00,19.8 °C,19 °C
2024-02-01 02:38:00,19.8 °C,19 °C
2024-02-01 02:39:00,19.8 °C,19 °C
2024-02-01 02:40:00,19.8 °C,19 °C
2024-02-01 02:42:00,19.8 °C,19 °C
2024-02-01 02:43:00,19.8 °C,19 °C
2024-02-01 02:46:00,19.8 °C,19 °C
2024-02-01 02:47:00,19.8 °C,19 °C
2024-02-01 02:50:00,19.8 °C,19 °C
2024-02-01 02:54:00,19.7 °C,19 °C
2024-02-01 02:55:00,19.7 °C,19 °C
2024-02-01 02:58:00,19.7 °C,19 °C
2024-02-01 02:59:00,19.7 °C,19 °C
2024-02-01 03:00:00,19.7 °C,19 °C
2024-02-01 03:02:00,19.7 °C,19 °C
2024-02-01 03:06:00,19.7 °C,19 °C
2024-02-01 03:07:00,19.7 °C,19 °C
2024-02-01 03:09:00,19.7 °C,19 °C
2024-02-01 03:11:00,19.7 °C,19 °C
2024-02-01 03:12:00,19.7 °C,19 °C
2024-02-01 03:13:00,19.7 °C,19 °C
2024-02-01 03:14:00,19.7 °C,19 °C
2024-02-01 03:16:00,19.6 °C,19 °C
2024-02-01 03:17:00,19.7 °C,19 °C
2024-02-01 03:19:00,19.6 °C,19 °C
2024-02-01 03:20:00,19.6 °C,19 °C
2024-02-01 03:21:00,19.6 °C,19 °C
2024-02-01 03:23:00,19.6 °C,19 °C
2024-02-01 03:30:00,19.6 °C,19 °C
2024-02-01 03:31:00,19.6 °C,19 °C
2024-02-01 03:34:00,19.6 °C,19 °C
2024-02-01 03:36:00,19.6 °C,19 °C
2024-02-01 03:39:00,19.6 °C,19 °C
2024-02-01 03:42:00,19.6 °C,19 °C
2024-02-01 03:43:00,19.5 °C,19 °C
2024-02-01 03:44:00,19.5 °C,19 °C
2024-02-01 03:47:00,19.5 °C,19 °C
2024-02-01 03:48:00,19.5 °C,19 °C
2024-02-01 03:49:00,19.5 °C,19 °C
2024-02-01 03:51:00,19.5 °C,19 °C
2024-02-01 03:53:00,19.5 °C,19 °C
2024-02-01 03:55:00,19.5 °C,19 °C
2024-02-01 03:56:00,19.5 °C,19 °C
2024-02-01 03:57:00,19.5 °C,19 °C
2024-02-01 03:58:00,19.5 °C,19 °C
2024-02-01 03:59:00,19.5 °C,19 °C
2024-02-01 04:03:00,19.5 °C,19 °C
2024-02-01 04:07:00,19.4 °C,19 °C
2024-02-01 04:12:00,19.4 °C,19 °C
2024-02-01 04:15:00,19.4 °C,19 °C
2024-02-01 04:18:00,19.4 °C,19 °C
2024-02-01 04:20:00,19.4 °C,19 °C
2024-02-01 04:24:00,19.4 °C,19 °C
2024-02-01 04:26:00,19.4 °C,19 °C
2024-02-01 04:27:00,19.4 °C,19 °C
2024-02-01 04:29:00,19.4 °C,19 °C
2024-02-01 04:33:00,19.4 °C,19 °C
2024-02-01 04:34:00,19.4 °C,19 °C
2024-02-01 04:36:00,19.3 °C,19 °C
2024-02-01 04:39:00,19.3 °C,19 °C
2024-02-01 04:44:00,19.3 °C,19 °C
2024-02-01 04:46:00,19.3 °C,19 °C
2024-02-01 04:51:00,19.3 °C,19 °C
2024-02-01 04:52:00,19.3 °C,19 °C
2024-02-01 04:53:00,19.3 °C,19 °C
2024-02-01 04:54:00,19.3 °C,19 °C
2024-02-01 04:55:00,19.3 °C,19 °C
2024-02-01 04:56:00,19.3 °C,19 °C
2024-02-01 04:58:00,19.3 °C,19 °C
2024-02-01 05:02:00,19.3 °C,19 °C
2024-02-01 05:06:00,19.2 °C,19 °C
2024-02-01 05:07:00,19.2 °C,19 °C
2024-02-01 05:11:00,19.2 °C,19 °C
2024-02-01 05:14:00,19.2 °C,19 °C
2024-02-01 05:16:00,19.2 °C,19 °C
2024-02-01 05:19:00,19.2 °C,19 °C
2024-02-01 05:24:00,19.2 °C,19 °C
2024-02-01 05:27:00,19.2 °C,19 °C
2024-02-01 05:32:00,19.2 °C,19 °C
2024-02-01 05:35:00,19.2 °C,19 °C
2024-02-01 05:37:00,19.1 °C,19 °C
2024-02-01 05:39:00,19.1 °C,19 °C
2024-02-01 05:41:00,19.1 °C,19 °C
2024-02-01 05:42:00,19.1 °C,19 °C
2024-02-01 05:43:00,19.1 °C,19 °C
2024-02-01 05:44:00,19.1 °C,19 °C
2024-02-01 05:45:00,19.1 °C,19 °C
2024-02-01 05:46:00,19.1 °C,19 °C
2024-02-01 05:47:00,19.1 °C,19 °C
2024-02-01 05:48:00,19.1 °C,19 °C
2024-02-01 05:50:00,19.1 °C,19 °C
2024-02-01 05:52:00,19.1 °C,19 °C
2024-02-01 05:58:00,19.1 °C,19 °C
2024-02-01 06:02:00,19.1 °C,19 °C
2024-02-01 06:07:00,19.1 °C,19 °C
2024-02-01 06:11:00,19.1 °C,19 °C
2024-02-01 06:15:00,19.1 °C,19 °C
2024-02-01 06:17:00,19.1 °C,19 °C
2024-02-01 06:30:00,19.0 °C,19 °C
2024-02-01 06:41:00,19.0 °C,19 °C
2024-02-01 06:43:00,19.0 °C,19 °C
2024-02-01 06:45:00,19.0 °C,19 °C
2024-02-01 06:50:00,19.0 °C,19 °C
2024-02-01 07:00:00,19.0 °C,19 °C
2024-02-01 07:03:00,19.0 °C,19 °C
2024-02-01 07:04:00,19.0 °C,19 °C
2024-02-01 07:09:00,19 °C,19 °C
2024-02-01 07:12:00,19.0 °C,19 °C
2024-02-01 07:28:00,19 °C,19 °C
2024-02-01 07:48:00,19 °C,19 °C
2024-02-01 08:06:00,19 °C,19 °C
2024-02-01 08:10:00,19 °C,19 °C
2024-02-01 08:11:00,19 °C,19 °C
2024-02-01 08:19:00,19 °C,19 °C
2024-02-01 08:20:00,19 °C,19 °C
2024-02-01 08:25:00,19 °C,19 °C
2024-02-01 08:26:00,19 °C,19 °C
2024-02-01 08:36:00,19.0 °C,19 °C
2024-02-01 08:38:00,19.0 °C,19 °C
2024-02-01 08:40:00,19.0 °C,19 °C
2024-02-01 08:41:00,19.0 °C,19 °C
2024-02-01 08:42:00,18.9 °C,19 °C
2024-02-01 08:43:00,18.9 °C,19 °C
2024-02-01 08:44:00,18.9 °C,19 °C
2024-02-01 08:45:00,18.9 °C,19 °C
2024-02-01 08:46:00,18.9 °C,19 °C
2024-02-01 08:47:00,18.9 °C,19 °C
2024-02-01 08:48:00,18.9 °C,19 °C
2024-02-01 08:50:00,18.8 °C,19 °C
2024-02-01 08:53:00,18.8 °C,19 °C
2024-02-01 08:54:00,18.8 °C,19 °C
2024-02-01 08:56:00,18.8 °C,19 °C
2024-02-01 09:04:00,18.8 °C,19 °C
2024-02-01 09:06:00,18.9 °C,19 °C
2024-02-01 09:08:00,18.9 °C,19 °C
2024-02-01 09:09:00,18.9 °C,19 °C
2024-02-01 09:11:00,18.9 °C,19 °C
2024-02-01 09:13:00,18.8 °C,19 °C
2024-02-01 09:16:00,18.9 °C,19 °C
2024-02-01 09:20:00,18.9 °C,19 °C
2024-02-01 09:21:00,18.9 °C,19 °C
2024-02-01 09:23:00,18.9 °C,19 °C
2024-02-01 09:24:00,18.9 °C,19 °C
2024-02-01 09:26:00,18.9 °C,19 °C
2024-02-01 09:27:00,18.9 °C,19 °C
2024-02-01 09:29:00,18.9 °C,19 °C
2024-02-01 09:32:00,18.9 °C,19 °C
2024-02-01 09:34:00,18.9 °C,19 °C
2024-02-01 09:37:00,19.0 °C,19 °C
2024-02-01 09:41:00,19.0 °C,19 °C
2024-02-01 09:42:00,19.0 °C,19 °C
2024-02-01 09:47:00,19.0 °C,19 °C
2024-02-01 09:49:00,19.0 °C,19 °C
2024-02-01 09:56:00,19.0 °C,19 °C
2024-02-01 09:57:00,19.0 °C,19 °C
2024-02-01 09:58:00,19.0 °C,19 °C
2024-02-01 10:03:00,19.0 °C,19 °C
2024-02-01 10:08:00,19.0 °C,19 °C
2024-02-01 10:15:00,19.0 °C,19 °C
2024-02-01 10:16:00,19.0 °C,19 °C
2024-02-01 10:18:00,19.0 °C,19 °C
2024-02-01 10:20:00,19.0 °C,19 °C
2024-02-01 10:25:00,19.0 °C,19 °C
2024-02-01 10:28:00,19.0 °C,19 °C
2024-02-01 10:33:00,19 °C,19 °C
2024-02-01 10:40:00,19 °C,19 °C
2024-02-01 10:43:00,19 °C,19 °C
2024-02-01 10:44:00,19 °C,19 °C
2024-02-01 10:48:00,19 °C,19 °C
2024-02-01 10:49:00,19 °C,19 °C
2024-02-01 10:51:00,19 °C,19 °C
2024-02-01 10:55:00,19 °C,19 °C
2024-02-01 10:57:00,19.0 °C,19 °C
2024-02-01 11:00:00,19.0 °C,19 °C
2024-02-01 11:01:00,19.0 °C,19 °C
2024-02-01 11:07:00,19.0 °C,19 °C
2024-02-01 11:13:00,19.0 °C,19 °C
2024-02-01 11:18:00,19.0 °C,19 °C
2024-02-01 11:21:00,19.0 °C,19 °C
2024-02-01 11:22:00,19.0 °C,19 °C
2024-02-01 11:26:00,19.0 °C,19 °C
2024-02-01 11:27:00,19.1 °C,19 °C
2024-02-01 11:29:00,19.1 °C,19 °C
2024-02-01 11:30:00,19.1 °C,19 °C
2024-02-01 11:31:00,19.1 °C,19 °C
2024-02-01 11:32:00,19.1 °C,19 °C
2024-02-01 11:33:00,19.1 °C,19 °C
2024-02-01 11:38:00,19.1 °C,19 °C
2024-02-01 11:39:00,19.1 °C,19 °C
2024-02-01 11:42:00,19.1 °C,19 °C
2024-02-01 11:43:00,19.1 °C,19 °C
2024-02-01 11:44:00,19.1 °C,19 °C
2024-02-01 11:46:00,19.1 °C,19 °C
2024-02-01 11:47:00,19.1 °C,19 °C
2024-02-01 11:50:00,19.1 °C,19 °C
2024-02-01 11:51:00,19.1 °C,19 °C
2024-02-01 11:53:00,19.1 °C,19 °C
2024-02-01 11:54:00,19.1 °C,19 °C
2024-02-01 11:55:00,19.1 °C,19 °C
2024-02-01 11:57:00,19.1 °C,19 °C
2024-02-01 12:02:00,19.1 °C,19 °C
